upon_11(5) 	 10 	 17 	 0.59
upon_18(8a) 	 0 	 1 	 0.0
upon_2(1a) 	 0 	 1 	 0.0
with_10(7a) 	 0 	 2 	 0.0
with_11(7b) 7(5) 	 8 	 9 	 0.89
with_12(7c) 	 2 	 5 	 0.4
with_13(8) 	 3 	 4 	 0.75
with_15(9)-1 	 1 	 1 	 1.0
with_2(2) 3(2a) 	 1 	 2 	 0.5
with_3(2a) 	 2 	 4 	 0.5
with_4(3)-1 	 9 	 11 	 0.82
with_8(6) 	 1 	 1 	 1.0
without_1(1) 	 5 	 14 	 0.36
