with_1(1)-1 	 3 	 12 	 0.25
with_11(7b) 	 25 	 28 	 0.89
with_2(2) 	 30 	 46 	 0.65
with_4(3) 	 41 	 57 	 0.72
with_5(3a) 	 95 	 101 	 0.94
with_6(4) 	 27 	 35 	 0.77
with_7(5) 	 18 	 24 	 0.75
with_9(7) 	 78 	 89 	 0.88
without_2(1a) 	 38 	 54 	 0.7
without_3(2) 	 11 	 18 	 0.61
