sense	tasks	freq	in50	cover	score	opt
off_6(3b)	3	15	45/45	1.0	310/360	0.861
on_1(1)	53	50	1304/2650	0.49	35126/67575	0.52
on_10(4)	4	7	6/28	0.21	8/112	0.071
on_11(5)	38	50	563/1900	0.3	16634/48450	0.343
on_11(5)-1	15	50	272/750	0.36	8346/19125	0.436
on_12(6)	11	37	99/407	0.24	1803/7733	0.233
on_13(6a)	5	13	55/65	0.85	312/455	0.686
on_14(7)	5	24	56/120	0.47	602/1500	0.401
on_15(7a)	5	21	47/105	0.45	425/1155	0.368
on_16(7b)	3	8	17/24	0.71	82/108	0.759
on_17(8)	37	50	1764/1850	0.95	45211/47175	0.958
on_18(8a)	2	20	7/40	0.17	60/420	0.143
on_19(9)	3	15	19/45	0.42	137/360	0.381
on_2(1a)	44	50	1077/2200	0.49	29334/56100	0.523
on_20(10)	5	14	52/70	0.74	334/525	0.636
on_22(12)	1	9	5/9	0.56	12/45	0.267
on_3(1b)	9	24	79/216	0.37	1017/2700	0.377
on_4(1c)	7	47	154/329	0.47	4546/7896	0.576
on_5(1d)	38	50	877/1900	0.46	25133/48450	0.519
on_7(2)	17	50	539/850	0.63	15279/21675	0.705
on_8(3)	71	50	2971/3550	0.84	76693/90525	0.847
on_8(3) 11(5)	4	9	14/36	0.39	30/180	0.167
on_9(3a)	44	50	923/2200	0.42	28010/56100	0.499
on_9(3a)-1	7	17	38/119	0.32	230/1071	0.215
onto_1(1)	53	50	2310/2650	0.87	59724/67575	0.884
onto_2(2)	5	18	34/90	0.38	254/855	0.297
onto_3(3)	1	14	6/14	0.43	39/105	0.371
onto_3(n)	7	16	50/112	0.45	297/952	0.312
onto_5(n)	1	7	4/7	0.57	13/28	0.464
onto_6(n)	12	38	177/456	0.39	3932/8892	0.442
onto_7(n)	3	6	1/18	0.06	6/63	0.095
onto_8(n)	4	9	15/36	0.42	27/180	0.15
over_1(1)	7	30	56/210	0.27	976/3255	0.3
over_10(3)	8	32	160/256	0.62	3043/4224	0.72
over_11(4)	21	50	481/1050	0.46	13137/26775	0.491
over_12(4a)	3	22	31/66	0.47	247/759	0.325
over_13(4b)	9	24	59/216	0.27	661/2700	0.245
over_14(5)	31	50	1430/1550	0.92	36687/39525	0.928
over_15(6)	3	17	33/51	0.65	272/459	0.593
over_16(7)	49	50	2326/2450	0.95	59885/62475	0.959
over_2(1a)	21	50	567/1050	0.54	16051/26775	0.599
over_3(1b)	7	21	96/147	0.65	976/1617	0.604
over_4(2)	7	30	55/210	0.26	841/3255	0.258
over_6(2b)	37	50	1396/1850	0.75	39839/47175	0.844
over_7(2c)	2	22	38/44	0.86	481/506	0.951
over_9(2e)	4	11	31/44	0.7	154/264	0.583
per_1(1)	58	50	2900/2900	1.0	73950/73950	1.0
since_1(1)	52	50	2600/2600	1.0	66300/66300	1.0
than_1(1)	12	50	493/600	0.82	13677/15300	0.894
than_2(2)	39	50	1949/1950	1.0	49678/49725	0.999
through_1(1)	27	50	368/1350	0.27	9795/34425	0.285
through_1(1) 3(1b)	22	50	338/1100	0.31	9598/28050	0.342
through_10(3)	13	50	305/650	0.47	8705/16575	0.525
through_10(3)-1	5	9	17/45	0.38	42/225	0.187
through_11(4)	1	6	0/6	0.0	0/21	0.0
through_12(5)	42	50	1583/2100	0.75	40672/53550	0.76
through_12(5)-1	1	7	1/7	0.14	1/28	0.036
through_13(5a)	18	50	348/900	0.39	9514/22950	0.415
through_2(1a)	22	50	314/1100	0.29	9807/28050	0.35
through_3(1b)	46	50	932/2300	0.41	25243/58650	0.43
through_3(1b) 10(3)	1	6	4/6	0.67	10/21	0.476
through_3(1b) 5(1d)	4	6	14/24	0.58	20/84	0.238
through_4(1c)	27	50	657/1350	0.49	19564/34425	0.568
through_5(1d)	7	11	8/77	0.1	27/462	0.058
through_5(1d)-1	12	44	85/528	0.16	1732/11880	0.146
through_7(2)	10	45	113/450	0.25	3385/10350	0.327
through_8(2a)	6	20	39/120	0.33	214/1260	0.17
through_9(2b)	11	41	93/451	0.21	2174/9471	0.23
to_1(1)	148	50	6729/7400	0.91	172595/188700	0.915
to_10(4a)	18	50	229/900	0.25	6563/22950	0.286
to_13(5)	34	50	1389/1700	0.82	36456/43350	0.841
to_14(6)	42	50	903/2100	0.43	25643/53550	0.479
to_15(7)	1	11	8/11	0.73	28/66	0.424
to_2(1a)	6	12	13/72	0.18	96/468	0.205
to_3(1b)	13	50	278/650	0.43	8709/16575	0.525
to_5(2)	10	24	37/240	0.15	365/3000	0.122
to_6(2a)	44	50	1022/2200	0.46	29730/56100	0.53
to_8(3)	138	50	5848/6900	0.85	151039/175950	0.858
to_8(3)-1	37	50	1353/1850	0.73	35819/47175	0.759
to_9(4)	9	44	186/396	0.47	5454/8910	0.612
toward_1(1)	14	50	524/700	0.75	15320/17850	0.858
toward_2(1a)	23	50	677/1150	0.59	18526/29325	0.632
toward_3(1b)	1	8	6/8	0.75	32/36	0.889
toward_4(2)	14	40	195/560	0.35	3819/11480	0.333
toward_4(2)-1	8	41	246/328	0.75	5143/6888	0.747
towards_1(1)	67	50	3066/3350	0.92	77993/85425	0.913
towards_2(1a)	29	50	893/1450	0.62	24649/36975	0.667
towards_3(1b)	3	12	22/36	0.61	136/234	0.581
towards_4(2)	12	50	234/600	0.39	6717/15300	0.439
towards_4(2)-1	14	50	335/700	0.48	8657/17850	0.485
towards_5(3)	5	31	140/155	0.9	2302/2480	0.928
under_1(1)	15	50	183/750	0.24	4699/19125	0.246
